d,a1,a2
James Cameron,CCH Pounder,Joel David Moore
James Cameron,Leonardo DiCaprio,Kate Winslet
James Cameron,Joe Morton,Jenette Goldstein
James Cameron,Jamie Lee Curtis,Tia Carrere
James Cameron,Michael Biehn,Todd Graff
James Cameron,Michael Biehn,Carrie Henn
James Cameron,Michael Biehn,Brian Thompson
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg
Peter Jackson,Aidan Turner,Adam Brown
Marc Webb,Emma Stone,Andrew Garfield
Ridley Scott,Mark Addy,William Hurt
Peter Jackson,Aidan Turner,Adam Brown
Chris Weitz,Christopher Lee,Eva Green
Peter Jackson,Naomi Watts,Thomas Kretschmann
James Cameron,Leonardo DiCaprio,Kate Winslet
Anthony Russo,Robert Downey Jr.,Scarlett Johansson
Peter Berg,Liam Neeson,Alexander Skarsgård
Colin Trevorrow,Bryce Dallas Howard,Judy Greer
Sam Mendes,Albert Finney,Helen McCrory
Sam Raimi,J.K. Simmons,James Franco
Shane Black,Robert Downey Jr.,Jon Favreau
Tim Burton,Johnny Depp,Alan Rickman
